
Namespace                         ResourceType                                                                                         Ali
Microsoft.Network                 dnszones/CAA                                                                                         {M…
Microsoft.Network                 privateDnsZones                                                                                      {M…
Microsoft.Network                 privateDnsZones/virtualNetworkLinks                                                                  {M…
Microsoft.Network                 privateDnsZones/A                                                                                    {M…
Microsoft.Network                 privateDnsZones/AAAA                                                                                 {M…
Microsoft.Network                 privateDnsZones/CNAME                                                                                {M…
Microsoft.Network                 privateDnsZones/PTR                                                                                  {M…
Microsoft.Network                 privateDnsZones/MX                                                                                   {M…
Microsoft.Network                 privateDnsZones/TXT                                                                                  {M…
Microsoft.Network                 privateDnsZones/SRV                                                                                  {M…
Microsoft.Network                 privateDnsZones/SOA                                                                                  {M…
Microsoft.Network                 trafficmanagerprofiles                                                                               {M…
Microsoft.Network                 trafficManagerUserMetricsKeys                                                                        {M…
Microsoft.Network                 expressRouteCircuits                                                                                 {M…
Microsoft.Network                 expressRouteCrossConnections                                                                         {M…
Microsoft.Network                 routeFilters                                                                                         {M…
Microsoft.Network                 virtualWans                                                                                          {M…
Microsoft.Network                 vpnSites                                                                                             {M…
Microsoft.Network                 vpnServerConfigurations                                                                              {M…
Microsoft.Network                 virtualHubs                                                                                          {M…
Microsoft.Network                 vpnGateways                                                                                          {M…
Microsoft.Network                 p2sVpnGateways                                                                                       {M…
Microsoft.Network                 expressRouteGateways                                                                                 {M…
Microsoft.Network                 expressRoutePorts                                                                                    {M…
Microsoft.Network                 firewallPolicies                                                                                     {M…
Microsoft.Network                 ipGroups                                                                                             {M…
Microsoft.Network                 securityPartnerProviders                                                                             {M…
Microsoft.Network                 azureFirewalls                                                                                       {M…
Microsoft.Network                 virtualNetworkTaps                                                                                   {M…
Microsoft.Network                 privateLinkServices                                                                                  {M…
Microsoft.Network                 ddosProtectionPlans                                                                                  {M…
Microsoft.Network                 networkProfiles                                                                                      {M…
Microsoft.Network                 frontdoors                                                                                           {M…
Microsoft.Network                 frontdoorWebApplicationFirewallPolicies                                                              {M…
Microsoft.Network                 networkExperimentProfiles                                                                            {M…
Microsoft.Network                 bastionHosts                                                                                         {M…
Microsoft.Network                 virtualRouters                                                                                       {M…
Microsoft.Network                 ipAllocations                                                                                        {M…
Microsoft.Network                 virtualNetworks/subnets                                                                              {M…
Microsoft.Network                 virtualNetworks/virtualNetworkPeerings                                                               {M…
Microsoft.Network                 networkSecurityGroups/securityRules                                                                  {M…
Microsoft.Network                 expressRouteCircuits/authorizations                                                                  {M…
Microsoft.Network                 expressRouteCircuits/peerings                                                                        {M…
Microsoft.Network                 expressRouteCircuits/peerings/connections                                                            {M…
Microsoft.Network                 expressRouteCrossConnections/peerings                                                                {M…
Microsoft.Network                 expressRouteGateways/expressRouteConnections                                                         {M…
Microsoft.Network                 frontDoors/backendPools                                                                              {M…
Microsoft.Network                 loadBalancers/inboundNatRules                                                                        {M…
Microsoft.Network                 networkInterfaces/tapConfigurations                                                                  {M…
Microsoft.Network                 networkWatchers/packetCaptures                                                                       {M…
Microsoft.Network                 routeFilters/routeFilterRules                                                                        {M…
Microsoft.Network                 routeTables/routes                                                                                   {M…
Microsoft.Network                 serviceEndpointPolicies/serviceEndpointPolicyDefinitions                                             {M…
Microsoft.Network                 vpnGateways/vpnConnections                                                                           {M…
Microsoft.Network                 firewallPolicies/ruleGroups                                                                          {M…
Microsoft.Network                 privateLinkServices/privateEndpointConnections                                                       {M…
Microsoft.Network                 virtualHubs/routeTables                                                                              {M…
Microsoft.Network                 virtualRouters/peerings                                                                              {M…
Microsoft.Network                 networkExperimentProfiles/experiments                                                                {M…
Microsoft.Network                 applicationGateways/privateEndpointConnections                                                       {M…
Microsoft.Network                 frontDoors/rulesEngines                                                                              {M…
Microsoft.Network                 loadBalancers/backendAddressPools                                                                    {M…
Microsoft.Network                 privateEndpoints/privateDnsZoneGroups                                                                {M…
Microsoft.Network                 virtualHubs/hubRouteTables                                                                           {M…
Microsoft.Network                 virtualHubs/hubVirtualNetworkConnections                                                             {M…
Microsoft.Network                 firewallPolicies/ruleCollectionGroups                                                                {M…
Microsoft.Network                 virtualHubs/bgpConnections                                                                           {M…
Microsoft.Network                 virtualHubs/ipConfigurations                                                                         {M…
Microsoft.Network                 vpnGateways/natRules                                                                                 {M…
Microsoft.NotificationHubs        namespaces                                                                                           {M…
Microsoft.NotificationHubs        namespaces/notificationHubs                                                                          {M…
Microsoft.NotificationHubs        Namespaces/AuthorizationRules                                                                        {M…
Microsoft.NotificationHubs        namespaces/notificationHubs/authorizationRules                                                       {M…
Microsoft.OperationalInsights     workspaces                                                                                           {M…
Microsoft.OperationalInsights     workspaces/dataSources                                                                               {M…
Microsoft.OperationalInsights     workspaces/linkedServices                                                                            {M…
Microsoft.OperationalInsights     clusters                                                                                             {M…
Microsoft.OperationalInsights     workspaces/dataExports                                                                               {M…
Microsoft.OperationalInsights     workspaces/savedSearches                                                                             {M…
Microsoft.OperationalInsights     workspaces/storageinsightconfigs                                                                     {M…
Microsoft.OperationsManagement    solutions                                                                                            {M…
Microsoft.OperationsManagement    managementconfigurations                                                                             {M…
Microsoft.OperationsManagement    managementassociations                                                                               {M…
Microsoft.Portal                  dashboards                                                                                           {M…
Microsoft.Portal                  tenantconfigurations                                                                                 {M…
Microsoft.Portal                  consoles                                                                                             {M…
Microsoft.Portal                  userSettings                                                                                         {M…
Microsoft.PowerBI                 workspaceCollections                                                                                 {M…
Microsoft.RecoveryServices        vaults                                                                                               {M…
Microsoft.RecoveryServices        backupProtectedItems                                                                                 {M…
Microsoft.RecoveryServices        Vaults/backupFabrics/backupProtectionIntent                                                          {M…
Microsoft.RecoveryServices        Vaults/backupFabrics/protectionContainers                                                            {M…
Microsoft.RecoveryServices        Vaults/backupFabrics/protectionContainers/protectedItems                                             {M…
Microsoft.RecoveryServices        Vaults/backupPolicies                                                                                {M…
Microsoft.RecoveryServices        Vaults/backupstorageconfig                                                                           {M…
Microsoft.RecoveryServices        Vaults/extendedInformation                                                                           {M…
Microsoft.RecoveryServices        vaults/replicationAlertSettings                                                                      {M…
Microsoft.RecoveryServices        vaults/replicationFabrics                                                                            {M…
Microsoft.RecoveryServices        vaults/replicationFabrics/replicationNetworks/replicationNetworkMappings                             {M…
Microsoft.RecoveryServices        vaults/replicationFabrics/replicationProtectionContainers/replicationMigrationItems                  {M…
Microsoft.RecoveryServices        vaults/replicationFabrics/replicationProtectionContainers/replicationProtectedItems                  {M…
Microsoft.RecoveryServices        vaults/replicationFabrics/replicationProtectionContainers/replicationProtectionContainerMappings     {M…
Microsoft.RecoveryServices        vaults/replicationFabrics/replicationStorageClassifications/replicationStorageClassificationMappings {M…
Microsoft.RecoveryServices        vaults/replicationFabrics/replicationvCenters                                                        {M…
Microsoft.RecoveryServices        vaults/replicationRecoveryPlans                                                                      {M…
Microsoft.RecoveryServices        vaults/replicationVaultSettings                                                                      {M…
Microsoft.RecoveryServices        Vaults/backupconfig                                                                                  {M…
Microsoft.RecoveryServices        Vaults/backupEncryptionConfigs                                                                       {M…
Microsoft.RecoveryServices        vaults/replicationProtectionIntents                                                                  {M…
Microsoft.Relay                   namespaces                                                                                           {M…
Microsoft.Relay                   namespaces/authorizationrules                                                                        {M…
Microsoft.Relay                   namespaces/privateEndpointConnections                                                                {M…
Microsoft.Relay                   namespaces/hybridconnections                                                                         {M…
Microsoft.Relay                   namespaces/hybridconnections/authorizationrules                                                      {M…
Microsoft.Relay                   namespaces/wcfrelays                                                                                 {M…
Microsoft.Relay                   namespaces/wcfrelays/authorizationrules                                                              {M…
Microsoft.Resources               tags                                                                                                 {M…
Microsoft.Resources               deployments                                                                                          {M…
Microsoft.Resources               links                                                                                                {M…
Microsoft.Scheduler               jobcollections                                                                                       {M…
Microsoft.Scheduler               jobcollections/jobs                                                                                  {M…
Microsoft.Search                  searchServices                                                                                       {M…
Microsoft.Search                  searchServices/sharedPrivateLinkResources                                                            {M…
Microsoft.Security                alerts                                                                                               {M…
Microsoft.Security                alertsSuppressionRules                                                                               {M…
Microsoft.Security                pricings                                                                                             {M…
Microsoft.Security                AutoProvisioningSettings                                                                             {M…
Microsoft.Security                securityContacts                                                                                     {M…
Microsoft.Security                workspaceSettings                                                                                    {M…
Microsoft.Security                complianceResults                                                                                    {M…
Microsoft.Security                policies                                                                                             {M…
Microsoft.Security                assessments                                                                                          {M…
Microsoft.Security                assessmentMetadata                                                                                   {M…
Microsoft.Security                locations/jitNetworkAccessPolicies                                                                   {M…
Microsoft.Security                locations/alerts                                                                                     {M…
Microsoft.Security                InformationProtectionPolicies                                                                        {M…
Microsoft.Security                advancedThreatProtectionSettings                                                                     {M…
Microsoft.Security                deviceSecurityGroups                                                                                 {M…
Microsoft.Security                iotSecuritySolutions                                                                                 {M…
Microsoft.Security                iotDefenderSettings                                                                                  {M…
Microsoft.Security                iotSensors                                                                                           {M…
Microsoft.Security                settings                                                                                             {M…
Microsoft.Security                automations                                                                                          {M…
Microsoft.SecurityInsights        cases                                                                                                {M…
Microsoft.SecurityInsights        bookmarks                                                                                            {M…
Microsoft.SecurityInsights        incidents                                                                                            {M…
Microsoft.SecurityInsights        alertRules/actions                                                                                   {M…
Microsoft.SecurityInsights        bookmarks/relations                                                                                  {M…
Microsoft.SecurityInsights        cases/comments                                                                                       {M…
Microsoft.SecurityInsights        incidents/comments                                                                                   {M…
Microsoft.SecurityInsights        incidents/relations                                                                                  {M…
Microsoft.ServiceBus              namespaces                                                                                           {M…
Microsoft.ServiceBus              namespaces/authorizationrules                                                                        {M…
Microsoft.ServiceBus              namespaces/networkrulesets                                                                           {M…
Microsoft.ServiceBus              namespaces/privateEndpointConnections                                                                {M…
Microsoft.ServiceBus              namespaces/queues                                                                                    {M…
Microsoft.ServiceBus              namespaces/queues/authorizationrules                                                                 {M…
Microsoft.ServiceBus              namespaces/disasterrecoveryconfigs                                                                   {M…
Microsoft.ServiceBus              namespaces/ipFilterRules                                                                             {M…
Microsoft.ServiceBus              namespaces/messagingPlan                                                                             {M…
Microsoft.ServiceBus              namespaces/migrationConfigurations                                                                   {M…
Microsoft.ServiceBus              namespaces/virtualNetworkRules                                                                       {M…
Microsoft.ServiceFabric           clusters                                                                                             {M…
Microsoft.ServiceFabric           clusters/applications                                                                                {M…
Microsoft.ServiceFabric           clusters/applications/services                                                                       {M…
Microsoft.ServiceFabric           clusters/applicationTypes                                                                            {M…
Microsoft.ServiceFabric           clusters/applicationTypes/versions                                                                   {M…
Microsoft.SignalRService          SignalR                                                                                              {M…
Microsoft.SignalRService          signalR/privateEndpointConnections                                                                   {M…
Microsoft.Solutions               applications                                                                                         {M…
Microsoft.Solutions               applicationDefinitions                                                                               {M…
Microsoft.Solutions               jitRequests                                                                                          {M…
Microsoft.Sql                     servers/keys                                                                                         {M…
Microsoft.Sql                     servers/encryptionProtector                                                                          {M…
Microsoft.Sql                     servers                                                                                              {M…
Microsoft.Sql                     servers/databases                                                                                    {M…
Microsoft.Sql                     servers/communicationLinks                                                                           {M…
Microsoft.Sql                     servers/administrators                                                                               {M…
Microsoft.Sql                     servers/databases/geoBackupPolicies                                                                  {M…
Microsoft.Sql                     servers/databases/backupLongTermRetentionPolicies                                                    {M…
Microsoft.Sql                     servers/databases/backupShortTermRetentionPolicies                                                   {M…
Microsoft.Sql                     servers/automaticTuning                                                                              {M…
Microsoft.Sql                     servers/databases/automaticTuning                                                                    {M…
Microsoft.Sql                     servers/databases/transparentDataEncryption                                                          {M…
Microsoft.Sql                     servers/databases/dataMaskingPolicies                                                                {M…
Microsoft.Sql                     servers/databases/securityAlertPolicies                                                              {M…
Microsoft.Sql                     servers/securityAlertPolicies                                                                        {M…
Microsoft.Sql                     servers/databases/auditingSettings                                                                   {M…
Microsoft.Sql                     servers/auditingSettings                                                                             {M…
Microsoft.Sql                     servers/extendedAuditingSettings                                                                     {M…
Microsoft.Sql                     servers/devOpsAuditingSettings                                                                       {M…
Microsoft.Sql                     servers/elasticpools                                                                                 {M…
Microsoft.Sql                     servers/jobAgents                                                                                    {M…
Microsoft.Sql                     servers/jobAgents/jobs/steps                                                                         {M…
Microsoft.Sql                     servers/disasterRecoveryConfiguration                                                                {M…
Microsoft.Sql                     servers/failoverGroups                                                                               {M…
Microsoft.Sql                     servers/virtualNetworkRules                                                                          {M…
Microsoft.Sql                     servers/advisors                                                                                     {M…
Microsoft.Sql                     servers/databases/advisors                                                                           {M…
Microsoft.Sql                     servers/databases/workloadGroups                                                                     {M…
Microsoft.Sql                     servers/databases/vulnerabilityAssessments                                                           {M…
Microsoft.Sql                     servers/vulnerabilityAssessments                                                                     {M…
Microsoft.Sql                     managedInstances/databases/vulnerabilityAssessments                                                  {M…
Microsoft.Sql                     managedInstances/vulnerabilityAssessments                                                            {M…
Microsoft.Sql                     servers/databases/syncGroups                                                                         {M…
Microsoft.Sql                     servers/databases/syncGroups/syncMembers                                                             {M…
Microsoft.Sql                     servers/syncAgents                                                                                   {M…
Microsoft.Sql                     instancePools                                                                                        {M…
Microsoft.Sql                     managedInstances                                                                                     {M…
Microsoft.Sql                     managedInstances/administrators                                                                      {M…
Microsoft.Sql                     managedInstances/databases                                                                           {M…
Microsoft.Sql                     managedInstances/databases/backupLongTermRetentionPolicies                                           {M…
Microsoft.Sql                     virtualClusters                                                                                      {M…
Microsoft.Sql                     locations/instanceFailoverGroups                                                                     {M…
Microsoft.Sql                     locations/serverTrustGroups                                                                          {M…
Microsoft.Sql                     servers/firewallRules                                                                                {M…
Microsoft.Sql                     servers/connectionPolicies                                                                           {M…
Microsoft.Sql                     servers/databases/connectionPolicies                                                                 {M…
Microsoft.Sql                     managedInstances/securityAlertPolicies                                                               {M…
Microsoft.Sql                     managedInstances/databases/securityAlertPolicies                                                     {M…
Microsoft.Sql                     servers/backupLongTermRetentionVaults                                                                {M…
Microsoft.Sql                     servers/databases/auditingPolicies                                                                   {M…
Microsoft.Sql                     managedInstances/databases/backupShortTermRetentionPolicies                                          {M…
Microsoft.Sql                     managedInstances/databases/schemas/tables/columns/sensitivityLabels                                  {M…
Microsoft.Sql                     managedInstances/databases/vulnerabilityAssessments/rules/baselines                                  {M…
Microsoft.Sql                     managedInstances/encryptionProtector                                                                 {M…
Microsoft.Sql                     managedInstances/keys                                                                                {M…
Microsoft.Sql                     managedInstances/restorableDroppedDatabases/backupShortTermRetentionPolicies                         {M…
Microsoft.Sql                     servers/databases/extendedAuditingSettings                                                           {M…
Microsoft.Sql                     servers/databases/schemas/tables/columns/sensitivityLabels                                           {M…
Microsoft.Sql                     servers/databases/vulnerabilityAssessments/rules/baselines                                           {M…
Microsoft.Sql                     servers/auditingPolicies                                                                             {M…
Microsoft.Sql                     servers/databases/workloadGroups/workloadClassifiers                                                 {M…
Microsoft.Sql                     servers/privateEndpointConnections                                                                   {M…
Microsoft.Sql                     managedInstances/azureADOnlyAuthentications                                                          {M…
Microsoft.Sql                     managedInstances/databases/transparentDataEncryption                                                 {M…
Microsoft.Sql                     managedInstances/privateEndpointConnections                                                          {M…
Microsoft.Sql                     servers/azureADOnlyAuthentications                                                                   {M…
Microsoft.Sql                     servers/databases/advisors/recommendedActions                                                        {M…
Microsoft.Sql                     servers/databases/maintenanceWindows                                                                 {M…
Microsoft.SqlVirtualMachine       SqlVirtualMachineGroups                                                                              {M…
Microsoft.SqlVirtualMachine       SqlVirtualMachines                                                                                   {M…
Microsoft.SqlVirtualMachine       SqlVirtualMachineGroups/AvailabilityGroupListeners                                                   {M…
Microsoft.Storage                 storageAccounts                                                                                      {M…
Microsoft.Storage                 storageAccounts/blobServices                                                                         {M…
Microsoft.Storage                 storageAccounts/tableServices                                                                        {M…
Microsoft.Storage                 storageAccounts/queueServices                                                                        {M…
Microsoft.Storage                 storageAccounts/fileServices                                                                         {M…
Microsoft.Storage                 storageAccounts/managementPolicies                                                                   {M…
Microsoft.Storage                 storageAccounts/fileServices/shares                                                                  {M…
Microsoft.Storage                 storageAccounts/blobServices/containers/immutabilityPolicies                                         {M…
Microsoft.Storage                 storageAccounts/privateEndpointConnections                                                           {M…
Microsoft.Storage                 storageAccounts/encryptionScopes                                                                     {M…
Microsoft.Storage                 storageAccounts/objectReplicationPolicies                                                            {M…
Microsoft.Storage                 storageAccounts/queueServices/queues                                                                 {M…
Microsoft.Storage                 storageAccounts/tableServices/tables                                                                 {M…
Microsoft.Storage                 storageAccounts/inventoryPolicies                                                                    {M…
Microsoft.StorageCache            caches                                                                                               {M…
Microsoft.StorageCache            caches/storageTargets                                                                                {M…
Microsoft.StorageSync             storageSyncServices                                                                                  {M…
Microsoft.StorageSync             storageSyncServices/syncGroups                                                                       {M…
Microsoft.StorageSync             storageSyncServices/syncGroups/cloudEndpoints                                                        {M…
Microsoft.StorageSync             storageSyncServices/syncGroups/serverEndpoints                                                       {M…
Microsoft.StorageSync             storageSyncServices/registeredServers                                                                {M…
Microsoft.StorageSync             storageSyncServices/privateEndpointConnections                                                       {M…
Microsoft.StorSimple              managers                                                                                             {M…
Microsoft.StorSimple              managers/accessControlRecords                                                                        {M…
Microsoft.StorSimple              managers/bandwidthSettings                                                                           {M…
Microsoft.StorSimple              managers/devices/alertSettings                                                                       {M…
Microsoft.StorSimple              managers/devices/backupPolicies                                                                      {M…
Microsoft.StorSimple              managers/devices/backupPolicies/schedules                                                            {M…
Microsoft.StorSimple              managers/devices/backupScheduleGroups                                                                {M…
Microsoft.StorSimple              managers/devices/chapSettings                                                                        {M…
Microsoft.StorSimple              managers/devices/fileservers                                                                         {M…
Microsoft.StorSimple              managers/devices/fileservers/shares                                                                  {M…
Microsoft.StorSimple              managers/devices/iscsiservers                                                                        {M…
Microsoft.StorSimple              managers/devices/iscsiservers/disks                                                                  {M…
Microsoft.StorSimple              managers/devices/timeSettings                                                                        {M…
Microsoft.StorSimple              managers/devices/volumeContainers                                                                    {M…
Microsoft.StorSimple              managers/devices/volumeContainers/volumes                                                            {M…
Microsoft.StorSimple              managers/extendedInformation                                                                         {M…
Microsoft.StorSimple              managers/storageAccountCredentials                                                                   {M…
Microsoft.StorSimple              managers/storageDomains                                                                              {M…
Microsoft.StreamAnalytics         streamingjobs                                                                                        {M…
Microsoft.StreamAnalytics         streamingjobs/functions                                                                              {M…
Microsoft.StreamAnalytics         streamingjobs/inputs                                                                                 {M…
Microsoft.StreamAnalytics         streamingjobs/outputs                                                                                {M…
Microsoft.StreamAnalytics         streamingjobs/transformations                                                                        {M…
Microsoft.Subscription            SubscriptionDefinitions                                                                              {M…
Microsoft.Subscription            aliases                                                                                              {M…
Microsoft.Synapse                 workspaces                                                                                           {M…
Microsoft.Synapse                 workspaces/bigDataPools                                                                              {M…
Microsoft.Synapse                 workspaces/sqlPools                                                                                  {M…
Microsoft.Synapse                 privateLinkHubs                                                                                      {M…
Microsoft.Synapse                 workspaces/administrators                                                                            {M…
Microsoft.Synapse                 workspaces/firewallRules                                                                             {M…
Microsoft.Synapse                 workspaces/integrationruntimes                                                                       {M…
Microsoft.Synapse                 workspaces/managedIdentitySqlControlSettings                                                         {M…
Microsoft.Synapse                 workspaces/sqlPools/auditingSettings                                                                 {M…
Microsoft.Synapse                 workspaces/sqlPools/metadataSync                                                                     {M…
Microsoft.Synapse                 workspaces/sqlPools/securityAlertPolicies                                                            {M…
Microsoft.Synapse                 workspaces/sqlPools/transparentDataEncryption                                                        {M…
Microsoft.Synapse                 workspaces/auditingSettings                                                                          {M…
Microsoft.Synapse                 workspaces/extendedAuditingSettings                                                                  {M…
Microsoft.Synapse                 workspaces/keys                                                                                      {M…
Microsoft.Synapse                 workspaces/privateEndpointConnections                                                                {M…
Microsoft.Synapse                 workspaces/securityAlertPolicies                                                                     {M…
Microsoft.Synapse                 workspaces/sqlAdministrators                                                                         {M…
Microsoft.Synapse                 workspaces/sqlPools/dataMaskingPolicies                                                              {M…
Microsoft.Synapse                 workspaces/sqlPools/extendedAuditingSettings                                                         {M…
Microsoft.Synapse                 workspaces/sqlPools/schemas/tables/columns/sensitivityLabels                                         {M…
Microsoft.Synapse                 workspaces/sqlPools/vulnerabilityAssessments                                                         {M…
Microsoft.Synapse                 workspaces/sqlPools/vulnerabilityAssessments/rules/baselines                                         {M…
Microsoft.Synapse                 workspaces/sqlPools/workloadGroups                                                                   {M…
Microsoft.Synapse                 workspaces/sqlPools/workloadGroups/workloadClassifiers                                               {M…
Microsoft.Synapse                 workspaces/vulnerabilityAssessments                                                                  {M…
Microsoft.TimeSeriesInsights      environments                                                                                         {M…
Microsoft.TimeSeriesInsights      environments/referenceDataSets                                                                       {M…
Microsoft.TimeSeriesInsights      environments/accessPolicies                                                                          {M…
Microsoft.VirtualMachineImages    imageTemplates                                                                                       {M…
microsoft.visualstudio            account/project                                                                                      {M…
Microsoft.Web                     publishingUsers                                                                                      {M…
Microsoft.Web                     sourceControls                                                                                       {M…
Microsoft.Web                     staticSites                                                                                          {M…
Microsoft.Web                     sites/networkConfig                                                                                  {M…
Microsoft.Web                     sites/slots/networkConfig                                                                            {M…
Microsoft.Web                     sites/hostNameBindings                                                                               {M…
Microsoft.Web                     sites/slots/hostNameBindings                                                                         {M…
Microsoft.Web                     certificates                                                                                         {M…
Microsoft.Web                     serverFarms                                                                                          {M…
Microsoft.Web                     sites                                                                                                {M…
Microsoft.Web                     sites/slots                                                                                          {M…
Microsoft.Web                     sites/premieraddons                                                                                  {M…
Microsoft.Web                     hostingEnvironments                                                                                  {M…
Microsoft.Web                     hostingEnvironments/multiRolePools                                                                   {M…
Microsoft.Web                     hostingEnvironments/workerPools                                                                      {M…
Microsoft.Web                     connections                                                                                          {M…
Microsoft.Web                     customApis                                                                                           {M…
Microsoft.Web                     connectionGateways                                                                                   {M…
Microsoft.Web                     sites/config                                                                                         {M…
Microsoft.Web                     sites/slots/config                                                                                   {M…
Microsoft.Web                     serverfarms/virtualnetworkconnections/gateways                                                       {M…
Microsoft.Web                     serverfarms/virtualnetworkconnections/routes                                                         {M…
Microsoft.Web                     sites/domainownershipidentifiers                                                                     {M…
Microsoft.Web                     sites/hybridconnection                                                                               {M…
Microsoft.Web                     sites/hybridconnectionnamespaces/relays                                                              {M…
Microsoft.Web                     sites/privateaccess                                                                                  {M…
Microsoft.Web                     sites/publiccertificates                                                                             {M…
Microsoft.Web                     sites/slots/domainownershipidentifiers                                                               {M…
Microsoft.Web                     sites/slots/hybridconnection                                                                         {M…
Microsoft.Web                     sites/slots/hybridconnectionnamespaces/relays                                                        {M…
Microsoft.Web                     sites/slots/premieraddons                                                                            {M…
Microsoft.Web                     sites/slots/publiccertificates                                                                       {M…
Microsoft.Web                     sites/slots/sourcecontrols                                                                           {M…
Microsoft.Web                     sites/slots/virtualnetworkconnections                                                                {M…
Microsoft.Web                     sites/slots/virtualnetworkconnections/gateways                                                       {M…
Microsoft.Web                     sites/sourcecontrols                                                                                 {M…
Microsoft.Web                     sites/virtualnetworkconnections                                                                      {M…
Microsoft.Web                     sites/virtualnetworkconnections/gateways                                                             {M…
Microsoft.Web                     sites/basicPublishingCredentialsPolicies/ftp                                                         {M…
Microsoft.Web                     sites/basicPublishingCredentialsPolicies/scm                                                         {M…
Microsoft.Web                     sites/privateEndpointConnections                                                                     {M…

