
Namespace                         ResourceType                                                                                         Ali
Microsoft.Cdn                     profiles/endpoints/customdomains                                                                     {M…
Microsoft.Cdn                     CdnWebApplicationFirewallPolicies                                                                    {M…
Microsoft.Codespaces              plans                                                                                                {M…
Microsoft.CognitiveServices       accounts                                                                                             {M…
Microsoft.CognitiveServices       accounts/privateEndpointConnections                                                                  {M…
Microsoft.Compute                 availabilitySets                                                                                     {M…
Microsoft.Compute                 virtualMachines                                                                                      {M…
Microsoft.Compute                 virtualMachines/extensions                                                                           {M…
Microsoft.Compute                 virtualMachineScaleSets                                                                              {M…
Microsoft.Compute                 virtualMachineScaleSets/extensions                                                                   {M…
Microsoft.Compute                 virtualMachineScaleSets/virtualMachines                                                              {M…
Microsoft.Compute                 virtualMachineScaleSets/virtualMachines/extensions                                                   {M…
Microsoft.Compute                 virtualMachines/runCommands                                                                          {M…
Microsoft.Compute                 proximityPlacementGroups                                                                             {M…
Microsoft.Compute                 sshPublicKeys                                                                                        {M…
Microsoft.Compute                 galleries                                                                                            {M…
Microsoft.Compute                 galleries/images                                                                                     {M…
Microsoft.Compute                 galleries/images/versions                                                                            {M…
Microsoft.Compute                 galleries/applications                                                                               {M…
Microsoft.Compute                 galleries/applications/versions                                                                      {M…
Microsoft.Compute                 disks                                                                                                {M…
Microsoft.Compute                 snapshots                                                                                            {M…
Microsoft.Compute                 diskEncryptionSets                                                                                   {M…
Microsoft.Compute                 diskAccesses                                                                                         {M…
Microsoft.Compute                 cloudServices                                                                                        {M…
Microsoft.Compute                 images                                                                                               {M…
Microsoft.Compute                 hostGroups                                                                                           {M…
Microsoft.Compute                 hostGroups/hosts                                                                                     {M…
Microsoft.Compute                 virtualMachineScaleSets/virtualMachines/runCommands                                                  {M…
Microsoft.Consumption             Budgets                                                                                              {M…
Microsoft.ContainerInstance       containerGroups                                                                                      {M…
Microsoft.ContainerRegistry       registries                                                                                           {M…
Microsoft.ContainerRegistry       registries/scopeMaps                                                                                 {M…
Microsoft.ContainerRegistry       registries/tokens                                                                                    {M…
Microsoft.ContainerRegistry       registries/tasks                                                                                     {M…
Microsoft.ContainerRegistry       registries/buildTasks                                                                                {M…
Microsoft.ContainerRegistry       registries/buildTasks/steps                                                                          {M…
Microsoft.ContainerRegistry       registries/replications                                                                              {M…
Microsoft.ContainerRegistry       registries/webhooks                                                                                  {M…
Microsoft.ContainerService        containerServices                                                                                    {M…
Microsoft.ContainerService        managedClusters                                                                                      {M…
Microsoft.ContainerService        openShiftManagedClusters                                                                             {M…
Microsoft.ContainerService        managedClusters/agentPools                                                                           {M…
Microsoft.ContainerService        managedClusters/privateEndpointConnections                                                           {M…
Microsoft.CustomProviders         resourceProviders                                                                                    {M…
Microsoft.CustomProviders         associations                                                                                         {M…
Microsoft.DataBox                 jobs                                                                                                 {M…
Microsoft.DataBoxEdge             DataBoxEdgeDevices                                                                                   {M…
Microsoft.DataBoxEdge             dataBoxEdgeDevices/bandwidthSchedules                                                                {M…
Microsoft.DataBoxEdge             dataBoxEdgeDevices/orders                                                                            {M…
Microsoft.DataBoxEdge             dataBoxEdgeDevices/shares                                                                            {M…
Microsoft.DataBoxEdge             dataBoxEdgeDevices/storageAccountCredentials                                                         {M…
Microsoft.DataBoxEdge             dataBoxEdgeDevices/storageAccounts                                                                   {M…
Microsoft.DataBoxEdge             dataBoxEdgeDevices/storageAccounts/containers                                                        {M…
Microsoft.DataBoxEdge             dataBoxEdgeDevices/users                                                                             {M…
Microsoft.DataBoxEdge             dataBoxEdgeDevices/roles                                                                             {M…
Microsoft.DataBoxEdge             dataBoxEdgeDevices/triggers                                                                          {M…
Microsoft.Databricks              workspaces                                                                                           {M…
Microsoft.Databricks              workspaces/virtualNetworkPeerings                                                                    {M…
Microsoft.DataCatalog             catalogs                                                                                             {M…
Microsoft.DataFactory             factories                                                                                            {M…
Microsoft.DataFactory             factories/integrationRuntimes                                                                        {M…
Microsoft.DataFactory             factories/pipelines                                                                                  {M…
Microsoft.DataFactory             factories/linkedservices                                                                             {M…
Microsoft.DataFactory             factories/datasets                                                                                   {M…
Microsoft.DataFactory             factories/triggers                                                                                   {M…
Microsoft.DataFactory             factories/dataflows                                                                                  {M…
Microsoft.DataFactory             factories/managedVirtualNetworks                                                                     {M…
Microsoft.DataFactory             factories/managedVirtualNetworks/managedPrivateEndpoints                                             {M…
Microsoft.DataLakeAnalytics       accounts                                                                                             {M…
Microsoft.DataLakeAnalytics       accounts/dataLakeStoreAccounts                                                                       {M…
Microsoft.DataLakeAnalytics       accounts/storageAccounts                                                                             {M…
Microsoft.DataLakeAnalytics       accounts/computePolicies                                                                             {M…
Microsoft.DataLakeAnalytics       accounts/firewallRules                                                                               {M…
Microsoft.DataLakeStore           accounts                                                                                             {M…
Microsoft.DataLakeStore           accounts/firewallRules                                                                               {M…
Microsoft.DataLakeStore           accounts/trustedIdProviders                                                                          {M…
Microsoft.DataLakeStore           accounts/virtualNetworkRules                                                                         {M…
Microsoft.DataMigration           services                                                                                             {M…
Microsoft.DataMigration           services/projects                                                                                    {M…
Microsoft.DataMigration           services/projects/files                                                                              {M…
Microsoft.DataMigration           services/projects/tasks                                                                              {M…
Microsoft.DataMigration           services/serviceTasks                                                                                {M…
Microsoft.DataShare               accounts                                                                                             {M…
Microsoft.DataShare               accounts/shares                                                                                      {M…
Microsoft.DataShare               accounts/shares/invitations                                                                          {M…
Microsoft.DataShare               accounts/sharesubscriptions                                                                          {M…
Microsoft.DBforMariaDB            servers                                                                                              {M…
Microsoft.DBforMariaDB            servers/virtualNetworkRules                                                                          {M…
Microsoft.DBforMariaDB            servers/privateEndpointConnections                                                                   {M…
Microsoft.DBforMariaDB            servers/keys                                                                                         {M…
Microsoft.DBforMariaDB            servers/configurations                                                                               {M…
Microsoft.DBforMariaDB            servers/databases                                                                                    {M…
Microsoft.DBforMariaDB            servers/firewallRules                                                                                {M…
Microsoft.DBforMariaDB            servers/securityAlertPolicies                                                                        {M…
Microsoft.DBforMySQL              servers                                                                                              {M…
Microsoft.DBforMySQL              flexibleServers                                                                                      {M…
Microsoft.DBforMySQL              servers/virtualNetworkRules                                                                          {M…
Microsoft.DBforMySQL              servers/privateEndpointConnections                                                                   {M…
Microsoft.DBforMySQL              servers/keys                                                                                         {M…
Microsoft.DBforMySQL              servers/securityAlertPolicies                                                                        {M…
Microsoft.DBforMySQL              servers/firewallRules                                                                                {M…
Microsoft.DBforMySQL              servers/configurations                                                                               {M…
Microsoft.DBforMySQL              servers/databases                                                                                    {M…
Microsoft.DBforMySQL              servers/administrators                                                                               {M…
Microsoft.DBforPostgreSQL         servers                                                                                              {M…
Microsoft.DBforPostgreSQL         flexibleServers                                                                                      {M…
Microsoft.DBforPostgreSQL         servers/virtualNetworkRules                                                                          {M…
Microsoft.DBforPostgreSQL         servers/privateEndpointConnections                                                                   {M…
Microsoft.DBforPostgreSQL         servers/keys                                                                                         {M…
Microsoft.DBforPostgreSQL         servers/firewallRules                                                                                {M…
Microsoft.DBforPostgreSQL         servers/securityAlertPolicies                                                                        {M…
Microsoft.DBforPostgreSQL         servers/configurations                                                                               {M…
